Order Number,Year,Month,Day,Product Number,Product Name,Count,Extra Col1,Extra Col2,Empty Column
1000,2017,11,26,P-96840,Spinach,972.50,Lorem,Ipsum,
1001,2022,06,11,P-18124,Cucumber,977.75,Lorem,Ipsum,
XYZ1002,2021,03,04,P-56421,Kale,149.75,Lorem,Ipsum,
1003,abcd,06,03,P-94892,Pepper,551.00,Lorem,Ipsum,
1004,2015,02,29,P-28951,Kale,45.50,Lorem,Ipsum,
1005,2020,02,18,P-14674,Broccoli,227.00,Lorem,Ipsum,
1006,abcd,07,24,P-99117,Pepper,873.50,Lorem,Ipsum,
1007,2018,13,15,P-17077,Spinach,788.50,Lorem,Ipsum,
1008,abcd,05,25,P-65367,Cucumber,126.75,Lorem,Ipsum,
XYZ1009,2018,08,25,P-55571,Spinach,281.25,Lorem,Ipsum,
1010,2015,11,13,P-33585,Spinach,366.25,Lorem,Ipsum,
1011,2016,01,05,P-83021,Pepper,296.50,Lorem,Ipsum,
1012,2017,05,14,P-63242,Arugola,782.75,Lorem,Ipsum,
1013,2016,13,24,P-98200,Spinach,679.25,Lorem,Ipsum,
1014,abcd,05,24,P-96328,Zucchini,732.75,Lorem,Ipsum,
1015,2015,08,04,P-65231,cucumber,352.75,Lorem,Ipsum,
1016,2019,09,15,P-66192,zucchini,336.50,Lorem,Ipsum,
XYZ1017,2021,06,01,P-34221,Iceberg Lettuce,463.75,Lorem,Ipsum,
1018,2022,03,16,P-79404,Pepper,226.25,Lorem,Ipsum,
1019,abcd,11,24,P-38391,Iceberg Lettuce,932.25,Lorem,Ipsum,
1020,abcd,10,06,P-44685,Iceberg Lettuce,345.00,Lorem,Ipsum,
1021,abcd,04,13,P-10342,Arugola,748.75,Lorem,Ipsum,
1022,2015,10,05,P-80004,spinach,560.25,Lorem,Ipsum,
1023,abcd,11,14,P-46824,Cucumber,99.00,Lorem,Ipsum,
1024,2020,09,06,P-84339,Spinach,778.25,Lorem,Ipsum,
1025,2019,02,21,P-19236,Tomato,620.50,Lorem,Ipsum,
1026,2020,02,03,P-31017,Iceberg Lettuce,445.75,Lorem,Ipsum,
1027,abcd,11,14,P-66308,Kale,311.75,Lorem,Ipsum,
1028,abcd,07,16,P-77865,Zucchini,637.00,Lorem,Ipsum,
